Date,Description,Amount
2026-04-01,Salary Payment,950.00
2026-04-02,Tesco Superstore,-35.40
2026-04-05,Netflix Subscription,-10.99
2026-04-12,Trainline Ticket,-24.50
2026-04-20,Amazon Purchase,-52.99
2026-04-25,Vodafone Phone Bill,-18.00
2026-05-01,Salary Payment,950.00
2026-05-02,Tesco Superstore,-42.35
2026-05-03,Netflix Subscription,-10.99
2026-05-04,Trainline Ticket,-18.50
2026-05-05,Amazon Purchase,-64.20
2026-05-06,Costa Coffee,-4.75
2026-05-12,Steam Purchase,-24.99
2026-05-20,Water Bill,-26.00
2026-05-25,Vodafone Phone Bill,-18.00
2026-05-28,Currys Laptop Repair,-180.00
2026-06-01,Salary Payment,950.00
2026-06-03,Aldi Store,-29.80
2026-06-05,Netflix Subscription,-10.99
2026-06-08,Spotify Premium,-5.99
2026-06-15,Amazon Large Purchase,-165.00
2026-06-20,Water Bill,-26.00
2026-06-25,Vodafone Phone Bill,-18.00
